setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
36,2022,05/09/2022,11/09/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,80 o més,2,1,0
13,2024,25/03/2024,31/03/2024,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,40 a 44,3,1,1
36,2022,05/09/2022,11/09/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,50 a 54,3,1,1
19,2022,09/05/2022,15/05/2022,70,Penedès,70,Penedès,Dona,40 a 44,4,2,1
48,2022,28/11/2022,04/12/2022,70,Penedès,70,Penedès,Home,3 i 4,-1,1,1
35,2023,28/08/2023,03/09/2023,64,Girona,64,Girona,Home,60 a 64,3,1,1
37,2022,12/09/2022,18/09/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,60 a 64,2,1,0
3,2023,16/01/2023,22/01/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,20 a 24,4,1,1
35,2023,28/08/2023,03/09/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,65 a 69,3,1,0
38,2023,18/09/2023,24/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,50 a 54,2,1,0
16,2023,17/04/2023,23/04/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,50 a 54,4,1,0
23,2023,05/06/2023,11/06/2023,64,Girona,64,Girona,Home,25 a 29,3,1,1
48,2022,28/11/2022,04/12/2022,64,Girona,64,Girona,Dona,55 a 59,3,3,3
1,2023,02/01/2023,08/01/2023,61,Lleida,61,Lleida,Dona,40 a 44,4,3,2
4,2023,23/01/2023,29/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,30 a 34,2,1,1
29,2022,18/07/2022,24/07/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,80 o més,3,1,1
